VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,SbUnitID,TIMEFRAME,LAT,LON
1,,COLE,S,83709,6319,6319 S COLE,,Boise,43.54529415,-116.2744039
1,,TARP,W,83709,7910,7910 W TARP,,Boise,43.54057483,-116.2805143
0,,GROVE,S,83709,6900,6900 S MAPLE GROVE,,Boise,43.54014711,-116.2941522
3,,TREE,S,83709,6939,6939 S LONE TREE,,Boise,43.53981527,-116.2845065
6,,GROVE,S,83709,6968,6968 S MAPLE GROVE,,Boise,43.5395809,-116.2941396
6,,TREE,S,83709,7060,7060 S LONE TREE,,Boise,43.53872242,-116.2823174
5,,TREE,S,83709,7152,7152 S LONE TREE,,Boise,43.53797152,-116.2835277
2,,COLE,S,83709,6223,6223 S COLE,,Boise,43.54623874,-116.2743959
0,,LATIGO,S,83709,6209,6209 S LATIGO,,Boise,43.54624815,-116.2764487
0,,TARP,W,83709,8203,8203 W TARP,,Boise,43.54040088,-116.2846615
6,,TREE,S,83709,7062,7062 S LONE TREE,,Boise,43.53758746,-116.2811781
7,,COLE,S,83709,7479,7479 S COLE,,Boise,43.53746831,-116.2749028
5,,TARP,W,83709,8557,8557 W TARP,,Boise,43.54038455,-116.2880325
2,,TARP,W,83709,7825,7825 W TARP,,Boise,43.54045064,-116.2809334
2,,CHUCKAR,W,83709,8027,8027 W CHUCKAR,,Boise,43.53714872,-116.2818803
6,,LUNAR,S,83709,6260,6260 S LUNAR,,Boise,43.54603766,-116.2910563
7,,LUNAR,S,83709,6275,6275 S LUNAR,,Boise,43.5459175,-116.2914003
7,,LUNAR,S,83709,6276,6276 S LUNAR,,Boise,43.54590667,-116.2909467
8,,ECLIPSE,S,83709,6288,6288 S ECLIPSE,,Boise,43.54590776,-116.2896664
9,,ECLIPSE,S,83709,6292,6292 S ECLIPSE,,Boise,43.54584447,-116.2894896
9,,LUNAR,S,83709,6298,6298 S LUNAR,,Boise,43.54570298,-116.2910599
0,,ECLIPSE,S,83709,6300,6300 S ECLIPSE,,Boise,43.54566608,-116.2894729
9,,LUNAR,S,83709,6297,6297 S LUNAR,,Boise,43.54565066,-116.2914187
1,,ECLIPSE,S,83709,6316,6316 S ECLIPSE,,Boise,43.5455052,-116.2895601
2,,LUNAR,S,83709,6321,6321 S LUNAR,,Boise,43.5454902,-116.2913772
4,,ORBIT,W,83709,8546,8546 W ORBIT,,Boise,43.54543862,-116.2885545
5,,LUNAR,S,83709,6352,6352 S LUNAR,,Boise,43.54535251,-116.2910332
5,,LUNAR,S,83709,6355,6355 S LUNAR,,Boise,43.54531638,-116.29141
3,,ORBIT,W,83709,8530,8530 W ORBIT,,Boise,43.54528659,-116.2882533
1,,ORBIT,W,83709,8512,8512 W ORBIT,,Boise,43.54516274,-116.2880514
8,,ORBIT,W,83709,8681,8681 W ORBIT,,Boise,43.54518699,-116.290372
6,,LUNAR,S,83709,6364,6364 S LUNAR,,Boise,43.54507152,-116.2910307
9,,ORBIT,W,83709,8490,8490 W ORBIT,,Boise,43.54508499,-116.2879234
7,,LUNAR,S,83709,6377,6377 S LUNAR,,Boise,43.54506845,-116.291384
7,,ORBIT,W,83709,8474,8474 W ORBIT,,Boise,43.54491504,-116.2876419
1,,ORBIT,W,83709,8614,8614 W ORBIT,,Boise,43.54489194,-116.2895254
6,,ORBIT,W,83709,8663,8663 W ORBIT,,Boise,43.54503107,-116.2901477
8,,LUNAR,S,83709,6380,6380 S LUNAR,,Boise,43.54485734,-116.2910778
4,,ORBIT,W,83709,8448,8448 W ORBIT,,Boise,43.54485126,-116.2875339
4,,ORBIT,W,83709,8647,8647 W ORBIT,,Boise,43.54489818,-116.2899693
2,,ORBIT,W,83709,8625,8625 W ORBIT,,Boise,43.54473006,-116.2897038
0,,ORBIT,W,83709,8609,8609 W ORBIT,,Boise,43.54465819,-116.2894827
3,,ORBIT,W,83709,8437,8437 W ORBIT,,Boise,43.54455442,-116.2874864
2,,ORBIT,W,83709,8425,8425 W ORBIT,,Boise,43.54444137,-116.287245
1,,ORBIT,W,83709,8314,8314 W ORBIT,,Boise,43.54426135,-116.2855573
9,,STAR,W,83709,8494,8494 W SHOOTING STAR,,Boise,43.54419719,-116.2880108
3,,STAR,W,83709,8533,8533 W SHOOTING STAR,,Boise,43.54417746,-116.2884412
8,,ORBIT,W,83709,8385,8385 W ORBIT,,Boise,43.5441707,-116.2865512
5,,ORBIT,W,83709,8351,8351 W ORBIT,,Boise,43.54411999,-116.2863381
3,,ORBIT,W,83709,8333,8333 W ORBIT,,Boise,43.54408156,-116.2860189
1,,ORBIT,W,83709,8317,8317 W ORBIT,,Boise,43.54405439,-116.2857047
5,,LUNAR,S,83709,6259,6259 S LUNAR,,Boise,43.5460768,-116.2912944
9,,ECLIPSE,S,83709,6293,6293 S ECLIPSE,,Boise,43.54591851,-116.2899049
9,,ECLIPSE,S,83709,6299,6299 S ECLIPSE,,Boise,43.54571199,-116.2899279
2,,ECLIPSE,S,83709,6325,6325 S ECLIPSE,,Boise,43.54547041,-116.2900651
3,,ECLIPSE,S,83709,6334,6334 S ECLIPSE,,Boise,43.54539517,-116.28966
5,,ECLIPSE,S,83709,6350,6350 S ECLIPSE,,Boise,43.54523975,-116.2898613
5,,ORBIT,W,83709,8554,8554 W ORBIT,,Boise,43.54539839,-116.2887887
6,,ORBIT,W,83709,8568,8568 W ORBIT,,Boise,43.54523676,-116.2889965
4,,ORBIT,W,83709,8545,8545 W ORBIT,,Boise,43.54514163,-116.2886009
7,,ORBIT,W,83709,8571,8571 W ORBIT,,Boise,43.5449929,-116.288838
0,,CONSTELLATION,S,83709,6401,6401 S CONSTELLATION,,Boise,43.5448436,-116.2881244
8,,ORBIT,W,83709,8583,8583 W ORBIT,,Boise,43.54484845,-116.2890404
1,,CONSTELLATION,S,83709,6415,6415 S CONSTELLATION,,Boise,43.54470786,-116.2883325
9,,ORBIT,W,83709,8597,8597 W ORBIT,,Boise,43.54471297,-116.2892306
1,,CONSTELLATION,S,83709,6410,6410 S CONSTELLATION,,Boise,43.54471062,-116.2878739
3,,ORBIT,W,83709,8436,8436 W ORBIT,,Boise,43.54470045,-116.2872648
3,,CONSTELLATION,S,83709,6433,6433 S CONSTELLATION,,Boise,43.5445811,-116.2884926
